applicationsCount,companyId,companyName,companyUrl,contractType,description,experienceLevel,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,workArrangement
Over 200 applicants,12484,Teleste,https://fi.linkedin.com/company/teleste?trk=public_jobs_topcard-org-name,Full-time,"Thank you for your interest in working at Teleste. If we do not have an opening that fits your interests currently, you can leave your application with us.

What We Offer

We offer global opportunities in a modern technology company. We Telestians value diverse and interesting assignments, international environment, opportunity to influence our own work, and interaction with great colleagues. We want this all to also describe your time with us.

Good To Know About Open Applications

How does Teleste use these applications?


 * In case we have openings where we need to hire fast or are short term.
 * In challenging recruitments with specific specialty.
   
   

How to make myself found?


 * Add your specific skills and competences in your application
 * Tell openly about your preferences and interests.
 * Make sure to inform us which Teleste location is of interest to you.
   
   

What if you see a job opening that you are interested in later on?


 * To make sure you are taken into account, make sure to apply to this specific job opening separately.",Mid-Senior level,https://fi.linkedin.com/jobs/view/open-application-to-teleste-at-teleste-3664571315?trk=public_jobs_topcard-title,"Kaarina, Southwest Finland, Finland",10 months ago,,,14-07-23,,Telecommunications,Open Application to Teleste,Information Technology,unknown
Over 200 applicants,86335137,99ads,https://www.linkedin.com/company/99ads?trk=public_jobs_topcard-org-name,Part-time,"99ads.com is a one-stop creative shop for online advertisers. We take care of the entire creative cycle from ads design to content production for our international clients.

We foster a collaborative and supportive work environment, offering opportunities for learning, growth, and professional development.

We have team members in Portugal, Spain, Colombia, Argentina, and South Africa to name a few.

Why join our amazing team?


 * Fully Remote
 * Office Availability in Lisbon, Portugal
 * Flexible Working Hours
 * Paid leave and days off
 * The Best Training Resources Available
 * Global, multicultural team
 * International client base
   
   

The Role

99ads is looking for a Graphic Designer with experience working on personal brands specifically tailored to social media platforms.

You Will Be Responsible For


 * Conceptualising and developing design concepts, graphics and layouts.
 * Designing and producing collateral in accordance with brand guidelines.
 * Liaising with suppliers and service providers to ensure proofs are of good quality and in line with production specifications.
 * Taking a ""design brief"" to understand requirements.
 * Presenting ideas, concepts and design solutions to various stakeholders.
 * Identifying design problems and devising elegant solutions.
   
   

Ideal Profile

Requirements

Fluent English (C1 - written and verbal)

More than 2 years experience as a Graphic Designer.

Experience creating illustrations.

Must have experience creating content for personal brands (organic content for Insta + Tiktok)

Must have experience creating landing pages.

Must have a keen eye for style and branding

Exceptional attention to detail.

Excellent interpersonal skills.

Commitment Required


 * Part time (+-10-25 hours per week)
   
   

What's on Offer?


 * Flexible working options
 * Great work culture
 * Work alongside & learn from best in class talent",Entry level,https://fi.linkedin.com/jobs/view/graphic-designer-at-99ads-3798087814?trk=public_jobs_topcard-title,Finland,4 months ago,,,04-01-24,,"Technology, Information and Internet, Advertising Services, and Online Audio and Video Media",Graphic Designer,"Design, Art/Creative, and Information Technology",unknown
Over 200 applicants,24987239,Apukka Resort,https://fi.linkedin.com/company/apukkaresort?trk=public_jobs_topcard-org-name,Contract,"Your job as a housekeeper is to take care of the cleanliness of the resort. Your duties include cleaning work at various parts of our resort, and the result of your work can be seen as the smiley faces of our guests.

You are best equipped for this work if you have applicable vocational training in cleaning and previous experience in similar tasks. We appreciate cooperation and interaction skills as well as a responsible attitude and way of doing things. The work requires good physical fitness.

Working hours are in morning/evening shifts. Work also during weekends.

Full-time 112,5h / 3 weeks / also part-time jobs available

Work begins 1.11.2024

Duration of work: until 31.3.2025

Salary as in collective agreement TES

If you cannot see the embedded video, you can take a look at it from the link: https://youtu.be/CdLuzWc1IR8

Desired Skillset and Qualifications:


 * Driver's license
 * Good skills in the English language
 * Good teamwork skills
 * Flexibility
 * Customer service orientation
 * A cheerful attitude
   
   

We appreciate:


 * Previous work experience in customer service roles
 * First aid skills
   
   

Why Join Us?

We offer Employee benefits, e.g., discounts on excursions, Epassi benefits, occupational health care, a genuine and caring work community, and workwear. In this position, there is an opportunity for performance-based bonus pay depending on your working hours.

About Apukka Resort

Apukka Resort Rovaniemi offers international guests unique lodgings, memorable experiences, and delicious tastes. Apukka's hospitable and professional staff works to create the surroundings and atmosphere for an unforgettable holiday in Finnish Lapland. New team members are welcomed to Apukka as warmly as each and every guest.",Entry level,https://fi.linkedin.com/jobs/view/housekeeper-at-apukka-resort-3916448567?trk=public_jobs_topcard-title,"Rovaniemi, Lapland, Finland",4 weeks ago,,,02-05-24,,Travel Arrangements,Housekeeper,Management and Manufacturing,unknown
Be among the first 25 applicants,18847658,Synsam Group Finland Oy,https://fi.linkedin.com/company/synsam-finland-oy?trk=public_jobs_topcard-org-name,Full-time,"Synsam jatkaa kasvuaan ja etsimme uusia osaajia joukkoomme!

Oletko myyntihenkinen ja positiivinen? Kiinnostaako sinua muoti, tyyli ja laatu? Haluatko olla rakentamassa Pohjoismaiden johtavaa optisen vähittäiskaupan ketjua yhdessä huipputiimin kanssa? Voisitko sinä olla uusi työkaverimme?

Jos tunnistat itsesi kuvauksesta, olet ehkä etsimämme timantti! Haemme nyt Synsam Hämeenkatu -ja Synsam Ratina -liikkeisiimme innostunutta ja energistä osa-aikaista OPTOMETRISTIOPISKELIJAA monipuolisiin optikkoliikkeen tehtäviin, osaksi iloista, asiakaspalveluhenkistä ja ammattitaitoista tiimiä!

Haluamme antaa asiakkaillemme aina parasta palvelua, siksi etsimme nyt sinua, joka janoat oppia lisää optisesta alasta, kuuntelet asiakkaitamme ja huolehdit heidän näkemisen tarpeistaan yhdessä optikoidemme ja myyjiemme kanssa. Ei haittaa, jos sinulle ole kertynyt vielä alan kokemusta, me perehdytämme sinut työhön!

Työskentelet laadukkaasti ja motivoidut haasteellisista ja monipuolisista tehtävistä. Positiivinen ja energinen asenteesi on myös tärkeä tekijä valinnassamme. Toimit sujuvasti suomen ja englannin kielellä, muu kielitaito katsotaan eduksesi.

Työsuhde on tarvittaessa töihin kutsuttava, ja työtä on tarjolla sopimuksen mukaan 0-37,5h/vko.

Synsam on tunnettu rennosta, nuorekkaasta ilmapiiristä sekä kannustavasta, mahdollistavasta johtamiskulttuurista. Synsamilla saat mielekkään ja monipuolisen tehtävän nopeasti kasvavassa ja kehittyvässä kansainvälisessä yrityksessä, jossa arvomme, asiakas on ykkönen, vastuullisuus ja innovatiivisuus, näkyvät arjen tekoina.

Tunnistitko itsesi? Esittele rohkeasti itsesi lähettämällä hakemuksesi ja CV palkkatoivomuksineen.

Tarvittaessa lisätietoja tehtävästä ja työstä Synsamilla antavat Synsam Hämeenkadun liikevastaava Heidi Hepouro, heidi.hepouro@synsam.fi, 046 920 4782, Synsam Ratinan likevastaava Aune Sirviö, aune.sirvio@synsam.fi, 050 338 5986 sekä aluejohtaja Outi Salakari, outi.salakari@synsam.fi, 040 753 0810.

Katso myös www.synsam.fi

Vuonna 1968 perustettu Synsam Group on yksi Euroopan johtavia optisen vähittäiskaupan ketjuja ja tarjoaa laajan valikoiman ainutlaatuisia silmänterveyden ja silmälasimuodin ratkaisuja, jotka rakentuvat asiakkaiden tarpeiden ja elämäntyylin mukaisesti. Synsam-ketjussa työskentelee Pohjoismaissa n. 3000 ammattilaista ja sen liikevaihto on n. 4 miljardia SEK. Ketjuun kuuluu 500 optikkoliikettä, jotka toimivat Synsamin, AI Eyewear ja Tanskassa Profil Optikin brändien alla. Synsam Group on onnistunut toiminnan digitalisoinnin ja innovatiivisten konseptien kautta saavuttamaan toimialansa parasta kasvua ja kannattavuutta Euroopassa.",Not Applicable,https://fi.linkedin.com/jobs/view/optometristiopiskelija-tampereen-synsam-liikkeisiin%21-at-synsam-group-finland-oy-3728733192?trk=public_jobs_topcard-title,"Tampere, Pirkanmaa, Finland",8 months ago,,,27-09-23,,Retail,Optometristiopiskelija Tampereen Synsam-liikkeisiin!,Other,unknown
Over 200 applicants,73885230,Digitsonly,https://at.linkedin.com/company/digitsonly?trk=public_jobs_topcard-org-name,Full-time,"If you're on the hunt for your next career move, you've come to the right place. 🚀

At digitsonly, we're not your typical job or recruiting platform; we're a portfolio company which does the hiring, team building and training for verified 7-8 figure companies in the ecommerce and agency industry.

The companies we're working with are on the continuous lookout for A-Players, which in this case if you're reading this, would be you. With us, you have the opportunity to get matched personally to multiple jobs & companies verified by us.

Due to our acceptance rate of only 2%, we keep a high demand, low competition, with rates way above the market and trainings literally on the market leader standard. 📈 More info on https://digitsonly.com/faq ℹ️

Note: The following job description is directly for the job the client is hiring for.

Requirements

We are seeking a talented and creative YouTube Video Editor to join our team. The ideal candidate will have a passion for storytelling and experience in editing engaging content for YouTube. You will collaborate with content creators/brands to produce high-quality videos that resonate with our audience and align with our brand objectives.

Key Responsibilities:

Edit raw footage to produce high-quality YouTube videos.

Collaborate with content creators to understand their vision and execute edits accordingly.

Incorporate graphics, animations, and effects to enhance video quality.

Ensure videos adhere to brand guidelines and maintain consistency in style and tone.

Manage video projects from start to finish, ensuring timely delivery of finished products.

Stay updated on industry trends and best practices in video editing techniques.

Optimize videos for SEO and audience engagement on the YouTube platform.

Assist in the development of creative concepts and video strategies.

Provide constructive feedback to content creators to improve video quality.

Qualifications:

Bachelor's degree in Film Production, Multimedia Arts, or related field (preferred).

Proven experience in video editing, particularly for YouTube or similar digital platforms.

Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar.

Strong understanding of storytelling, pacing, and visual composition.

Ability to work independently and collaboratively in a fast-paced environment.

Excellent communication skills and a collaborative mindset.

Attention to detail and a keen eye for quality.

Familiarity with YouTube's content policies and community guidelines is a plus.

Experience with motion graphics and animation is desirable.

Benefits

Working with digitsonly, you'll receive following incentives 📈


 * Access to high paying & uncompeted jobs by verified hiring companies
 * Possibility to take on multiple projects or offers (depending on availability*)
 * Access to trainings & coachings (like adworld, foreplay.co, skillshare + inhouse trainings, etc.)
 * Access to SOPs, best practices, checklists (clickminded, +inhouse trainings, etc)
 * Private management by a dedicated customer support manager
 * Community with like minded individuals & free consulting
   
   

Note: These benefits are just from digitsonly, the client will likely offer additional incentives and benefits.",Mid-Senior level,https://fi.linkedin.com/jobs/view/youtube-video-editor-at-digitsonly-3917835049?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 weeks ago,,,05-05-24,,Non-profit Organizations and Primary and Secondary Education,Youtube Video Editor,"Marketing, Public Relations, and Writing/Editing",unknown
155 applicants,1038,Deloitte,https://www.linkedin.com/company/deloitte?trk=public_jobs_topcard-org-name,Full-time,"Job Description




Are you keen to build your career in the highly interesting and challenging environment of valuation and financial modeling services? Are you interested to work as integral part of the team that is ranked as a leading Corporate Finance adviser both in the Nordics and globally? We are now seeking a Valuation and Modeling Analyst to join our Corporate Finance team in Helsinki!




About the role




At Deloitte, you will work in diverse client engagements with corporate and private equity clients, focusing on transaction valuations, portfolio valuation advisory and regulatory & compliance valuations. Your role as Analyst will consist of:




 * Assisting clients in various business valuation matters, tax valuation issues, intellectual property valuations and business plan & restructuring modeling
 * Developing sophisticated financial models used in analysing, valuing and restructuring companies
 * Collecting and analysing detailed company specific and market information
 * Working in project teams and together with other Deloitte business units (e.g., Tax and Legal and Audit & Assurance) in joint projects




We would like you to start in early September 2024 (flexible dates based on your preferences).




Why Deloitte?




From day one, you will be considered a valued member of the Deloitte team. Our development and career progression framework will help you develop the skills and capabilities you need to succeed and advance in your career. We will offer you:




 * A dynamic team of experienced corporate finance professionals in Finland and in the Nordics
 * An active role in wide range of different valuation and modeling tasks as well as in client interaction right from the start
 * Exposure to Finnish and global corporations as well as private equity clients and other financial investors
 * The opportunity to work in cross-business unit projects together with colleagues from the extensive Deloitte network and leverage Deloitte's research and industry insights
 * Active support for your personal development from your team and your own coach




Our low hierarchy team is very collaborative and values all team members’ well-being. We also strive to provide our professionals with flexible working conditions, which is why we embrace a hybrid model. While you are warmly welcome to our comfortable office, we also offer the option to work remotely.




Qualifications




If you got excited reading the job description and you enjoy problem solving and challenging yourself, we encourage you to apply. We believe that you will succeed with us if you have:




 * An excellent academic record with a relevant master’s degree in finance, economics, accounting or engineering (graduated or close to graduation)
 * An analytical and result-oriented mindset with a keen interest in M&A and valuations
 * Solid skills in Excel and PowerPoint
 * Good communication skills and excellent command of both English and Finnish




Previous valuation experience and know-how on valuation theory & methodology is considered an asset.




Additional Information




How to apply?




To apply, please send us your CV, cover letter and transcript of records latest on Friday, May 31st, 2024. We encourage you to apply as soon as possible as we plan to proceed with the interviews already during the application period.




The recruitment process




In the first step we will send an email invitation to selected candidates to record short video interview answers. In the second step we invite chosen candidates to an interview around a case. In addition, the recruitment process includes an interview based on a suitability assessment for candidates proceeding in the recruitment.




Do you have any questions?




Questions regarding the position, Deloitte or recruitment process can be sent to the hiring team at rekry@deloitte.fi. However, we would like to receive the applications via our recruitment system.




Choose your impact




Have a peek at our everyday life and discover more about us on LinkedIn, Instagram, Facebook and Twitter.




We are looking forward to your application!",Entry level,https://fi.linkedin.com/jobs/view/valuation-modeling-analyst-at-deloitte-3924996296?trk=public_jobs_topcard-title,Helsinki Metropolitan Area,2 weeks ago,,,14-05-24,,Business Consulting and Services,Valuation & Modeling Analyst,Consulting,unknown
165 applicants,77048887,Shootday,https://ae.linkedin.com/company/shootday?trk=public_jobs_topcard-org-name,Part-time,"We are looking for a passionate Photographer to capture moments on film and to use images to tell a story. The successful candidate will be able to achieve technical, qualitative and quantitative goals while meeting the project’s needs and deadlines.

Responsibilities


 * Take the brief to understand specifications and work closely with our art team to develop the concept
 * Capture and process images until you achieve desired results
 * Shoot poses that don’t look posed
 * Constantly improve image quality using various editing methods
 * Use and maintain modern and traditional technical equipment (cameras, lenses etc)
 * Arrange objects, scenes, lighting and background to adhere to specifications
 * Direct participants
 * Archive photographic images and maintain the database
 * Maintain an in-depth understanding of photographic best practices and procedures
   
   

Requirements


 * Proven professional shooting experience
 * Eye-catching portfolio
 * Proficient in traditional and modern equipment
 * Solid knowledge of Photoshop, Capture One or other photography specific software
 * Shooting, lighting and printing skills
 * Competency in applying photographic best practices and techniques
 * Knowledge of production process for online publishing and various printing applications
 * Ability to juggle multiple tasks
 * Photography degree or similar",Entry level,https://fi.linkedin.com/jobs/view/photographer-at-shootday-3919557902?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 weeks ago,,,07-05-24,,Photography,Photographer,"Design, Art/Creative, and Information Technology",unknown
31 applicants,5001404,Reedsy,https://uk.linkedin.com/company/reedsy?trk=public_jobs_topcard-org-name,Full-time,"We are seeking talented book designers to join our fast-growing community of the industry's top publishing professionals. Reedsy's vetted group of freelancers have worked on a range of widely acclaimed novels such as The Hunger Games, Originals (Adam grant), and His Dark Materials (Phillip Pullman) series.

Requirements


 * Have 3+ years of experience in illustration
 * A solid portfolio
   
   

Experience working for a renowned publishing company or a history of high-quality work with a bestselling author/book will be positively valued.

Benefits

There are hundreds of authors currently looking for an illustrator on Reedsy. Reedsy allows you to pick which types of design you'd like to do, so you only receive projects in your area of interest. Once your application has been approved, you will be among the industry's top 1% of talent. Here is a look at our current trends: https://blog.reedsy.com/book-cover-art/",Associate,https://fi.linkedin.com/jobs/view/freelance-illustrator-at-reedsy-3935020889?trk=public_jobs_topcard-title,Finland,1 day ago,,,31-05-24,,Non-profit Organizations and Primary and Secondary Education,Freelance Illustrator,Design,unknown
65 applicants,93081160,Ladgov Corporation,https://www.linkedin.com/company/ladgov-corporation?trk=public_jobs_topcard-org-name,Full-time,"Job title: Caterer.

Location: Stenbäckinkatu 22, Helsinki.

Qualifications:


 * Previous experience in food preparation and delivery preferred
 * Strong organizational and time management skills
 * Knowledge of food safety and sanitation regulations
   
   

Duties:


 * Schedule cooking and delivery requirements to ensure meals are prepared, packaged, and delivered in the specified order and time frame
 * Provide individually packed lunch and dinner meals for seven people per day, totaling 98 meals per week
 * Utilize own discretion on the timing of meal transportation to the residence in Helsinki
 * Manage own operation hours for meal preparation, packaging, and delivery to ensure availability of one lunch and one dinner meal daily for seven people
 * Transport multiple days' worth of meals during each trip to minimize daily transportation of meals
 * Remove used food containers and any uneaten meals from the residence during meal deliveries
   
   

Powered by JazzHR

MddSeowkqG",Entry level,https://fi.linkedin.com/jobs/view/caterer-at-ladgov-corporation-3838733635?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 months ago,,,23-02-24,,Internet Publishing,Caterer,Management and Manufacturing,unknown
Be among the first 25 applicants,7575309,HappySignals Ltd,https://fi.linkedin.com/company/happysignals?trk=public_jobs_topcard-org-name,Full-time,"We always have our eyes open for new talent to join our Happy team and growth journey! Tell us about yourself, what kind of job you are looking for, and in which location. Send your open application. Please note, that you need to have a right to work or a valid work visa in the country you would be working.

We will get back to you if we have a position that matches your profile. Your application will be valid for 24 months and it’s available to our HR and hiring managers when we open new positions.

About HappySignals

We offer great opportunities for you to grow and develop your personal skills and experience with an innovative IT product. For our growth journey to be a success, we need willing and determined people to commit and put their heart and skills into the growth story of HappySignals.

In return, you get a competitive package of benefits such as better holidays and extensive healthcare and dental services, a bunch of great colleagues, open and equal environment. We are still a start-up company - we try, we fail, and we succeed together. We have a supportive team that encourages each other, respects you, and enjoys the occasional Friday social. For our employees, we want HappySignals to be the greatest place to work!

About HappySignals

HappySignals is the leading SaaS company for IT Experience Management, empowering enterprises to change their culture to be more open, outcome-focused, and data-driven. The HappySignals Platform enables IT leaders to get a real-time understanding of the experiences they are delivering to end-users, and make informed decisions that increase employee happiness and productivity. HappySignals discovers the experiences of millions of employees in 130 countries. Our customers have been able to make employees happier and increase productivity by 26%.

Established in 2014, HappySignals is based in Helsinki, Finland, and also has operations in the UK and the US. Currently, we are a Happy team of 30+ people with around 10 different nationalities. We work together on a mission towards more smiles, less time wasted. For more information, visit www.happysignals.com.

HappySignals is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will be considered without regard to age, sex, sexual orientation, nationality, language, religion, beliefs, health, disability, or any other circumstance connected to the person.",Mid-Senior level,https://fi.linkedin.com/jobs/view/open-application-at-happysignals-ltd-3932025688?trk=public_jobs_topcard-title,Finland,1 week ago,,,24-05-24,,IT Services and IT Consulting,Open application,Information Technology,unknown
