applicationsCount,companyId,companyName,companyUrl,contractType,description,experienceLevel,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,workArrangement
31 applicants,5001404,Reedsy,https://uk.linkedin.com/company/reedsy?trk=public_jobs_topcard-org-name,Full-time,"We are seeking talented book designers to join our fast-growing community of the industry's top publishing professionals. Reedsy's vetted group of freelancers have worked on a range of widely acclaimed novels such as The Hunger Games, Originals (Adam grant), and His Dark Materials (Phillip Pullman) series.

Requirements


 * Have 3+ years of experience in illustration
 * A solid portfolio
   
   

Experience working for a renowned publishing company or a history of high-quality work with a bestselling author/book will be positively valued.

Benefits

There are hundreds of authors currently looking for an illustrator on Reedsy. Reedsy allows you to pick which types of design you'd like to do, so you only receive projects in your area of interest. Once your application has been approved, you will be among the industry's top 1% of talent. Here is a look at our current trends: https://blog.reedsy.com/book-cover-art/",Associate,https://fi.linkedin.com/jobs/view/freelance-illustrator-at-reedsy-3935020889?trk=public_jobs_topcard-title,Finland,1 day ago,,,31-05-24,,Non-profit Organizations and Primary and Secondary Education,Freelance Illustrator,Design,remote
34 applicants,11851445,AAA Game Art Studio,https://cy.linkedin.com/company/aaa-game-art-studio?trk=public_jobs_topcard-org-name,Full-time,"We are AAA Game Art Studio — a fast growing art outsource studio with focus on GameDev. Our clients are big gamedev companies: Playtika, Wooga, A Thinking Ape and many more. We are happy to announce an open vacancy — ""3D Artist"".

The Role


 * Taking a ""design brief"" to understand requirements.
 * Presenting ideas, concepts and design solutions to various stakeholders.
 * Identifying design problems and devising elegant solutions.
   
   

Ideal Profile


 * Portfolio with hard-surface works (vehicles, weapons, props, etc.) with realistic PBR texturing;
 * Experience on a similar position in the video game industry on AAA projects as an 3D artist of military equipment, weapons;
 * Confident knowledge of one of the 3D modeling software, such as: Maya, Blender, 3ds Max, Modo;
 * Knowledge of pipeline game 3D development;
 * Excellent understanding of Low-Poly modeling and UV unwrapping techniques;
 * Confident use of tools for the effective creation of Hi-Poly mesh for bake, including sculpting at Zbrush/Blender;
 * Understanding the principles and subtleties baking of Normal Map in Maya or Marmoset and their refinement;
 * Confident knowledge of Substance Painter, ability to create authentic materials based on photo references;
 * Experience working with fabrics in Marvelous Designer;
 * Ability to work with blueprints;
 * Strong knowledge of Adobe Photoshop;
 * Good design and composition skills;
 * Knowledge of written English.
   
   

Will Be a Plus


 * Experience as a gamer, interest in games, understanding different game genres and techniques of visualization;
 * Drawing by hand;
 * Art education;
 * Teaching experience;
 * Experience working with nodes in Substance Designer/Blender;
 * Deep understanding of the principles of game engines and 3D graphics visualization;
 * Experience with game engines (Unreal Engine, Unity, etc);
   
   

What We Offer


 * remote work from anywhere in the world;
 * flexible hours;
 * professional growth;
 * ability to propose and implement your own decisions/ideas;
 * timely payment of the salary and regular revision.
   
   

All candidates must have a relevant portfolio and agree to do an unpaid test task!

What's on Offer?


 * Flexible working options
 * Great work culture
 * Leadership Role",Entry level,https://fi.linkedin.com/jobs/view/3d-artist-realistic-at-aaa-game-art-studio-3936837899?trk=public_jobs_topcard-title,Finland,3 days ago,,,28-05-24,,Online Audio and Video Media,3D Artist (Realistic),"Design, Art/Creative, and Information Technology",remote
Over 200 applicants,17925126,SCALEUP.agency,https://cz.linkedin.com/company/scaleupagency?trk=public_jobs_topcard-org-name,Internship,"About Role

As a AI & Business Analyst Intern you will work daily on data analytics / strategy consulting tasks and projects related to mining and researching data, later on data optimization, cleaning, and finally on the interpretation and data visualization for clients and internal company needs. You will use many AI tools, test them and definitely master daily the use of generative AI tools.

Your mission:


 * AI first approach - we use AI in all possible cases that is available
 * Conduct insightful, ad hoc analyses and informative, actionable global markets research and reporting that highlights relevant business trends and opportunities for improvement
 * Collaborate with other teams to build valuable content using BI and market insights solutions
 * Develop dashboards and descriptive analytics solutions for clients
 * Prepare technical reports by collecting, analyzing and summarizing information and trends
 * Take care of data integration and data / database management
 * Support and maintain existing BI solutions and resolve bugs as they arise
   
   

Your perks:


 * Access to very extensive educational resources and opportunities
 * Flexibility (work from home / remote setup)
 * Hi-tech and world-class working tools available also for personal use
 * Life-coaching & mentoring arranged by senior internal and external mentors
 * Team-buildings that are really different from “standard” companies
   
   

Your superpowers:


 * Currently enrolled in a University degree (Bachelor/Master) or fresh graduate
 * Generative AI and other AI tools daily user
 * Serious interest in market research, consulting, HR and finance audit
 * Your personality captivates with enthusiasm for innovation, curiosity and the courage to question facts and always double-check data
 * Ability to thrive in fast-paced environment with competing priorities and last-minute changes
 * Staying on top of all innovation-related news and leveraging your experience to conceptualize innovation strategies and methodologies
 * Business acumen and client’s focus
 * Basics and willing to improve skills in: Excel, SQL, Tableau, Power BI, Qlick, etc
   
   

Your mission frame:


 * Type: Full Time/Part Time internship (40/30h per week)
 * Compensation: Non-paid / Students' scholarships
 * Location: Remote
 * Duration: 3+ Months, optional to be extended up to 12 months
 * Start: ASAP
   
   

The exact starting date of the internship can be flexible after successful interviews and agreement.

Note: Due to the high number of applications we receive, we will only respond to applications that match our criteria and expectations. Thank you for understanding.

Powered by JazzHR

gQRP3FrLo2",Internship,https://fi.linkedin.com/jobs/view/ai-business-analyst-remote-internship-at-scaleup-agency-3787773898?trk=public_jobs_topcard-title,"Oulu, North Ostrobothnia, Finland",5 months ago,,,16-12-23,,Internet Publishing,AI & Business Analyst (Remote Internship),"Research, Analyst, and Information Technology",remote
Over 200 applicants,17925126,SCALEUP.agency,https://cz.linkedin.com/company/scaleupagency?trk=public_jobs_topcard-org-name,Internship,"About Role

As a AI & Business Analyst Intern you will work daily on data analytics / strategy consulting tasks and projects related to mining and researching data, later on data optimization, cleaning, and finally on the interpretation and data visualization for clients and internal company needs. You will use many AI tools, test them and definitely master daily the use of generative AI tools.

Your mission:


 * AI first approach - we use AI in all possible cases that is available
 * Conduct insightful, ad hoc analyses and informative, actionable global markets research and reporting that highlights relevant business trends and opportunities for improvement
 * Collaborate with other teams to build valuable content using BI and market insights solutions
 * Develop dashboards and descriptive analytics solutions for clients
 * Prepare technical reports by collecting, analyzing and summarizing information and trends
 * Take care of data integration and data / database management
 * Support and maintain existing BI solutions and resolve bugs as they arise
   
   

Your perks:


 * Access to very extensive educational resources and opportunities
 * Flexibility (work from home / remote setup)
 * Hi-tech and world-class working tools available also for personal use
 * Life-coaching & mentoring arranged by senior internal and external mentors
 * Team-buildings that are really different from “standard” companies
   
   

Your superpowers:


 * Currently enrolled in a University degree (Bachelor/Master) or fresh graduate
 * Generative AI and other AI tools daily user
 * Serious interest in market research, consulting, HR and finance audit
 * Your personality captivates with enthusiasm for innovation, curiosity and the courage to question facts and always double-check data
 * Ability to thrive in fast-paced environment with competing priorities and last-minute changes
 * Staying on top of all innovation-related news and leveraging your experience to conceptualize innovation strategies and methodologies
 * Business acumen and client’s focus
 * Basics and willing to improve skills in: Excel, SQL, Tableau, Power BI, Qlick, etc
   
   

Your mission frame:


 * Type: Full Time/Part Time internship (40/30h per week)
 * Compensation: Non-paid / Students' scholarships
 * Location: Remote
 * Duration: 3+ Months, optional to be extended up to 12 months
 * Start: ASAP
   
   

The exact starting date of the internship can be flexible after successful interviews and agreement.

Note: Due to the high number of applications we receive, we will only respond to applications that match our criteria and expectations. Thank you for understanding.

Powered by JazzHR

LNn3bj1pQV",Internship,https://fi.linkedin.com/jobs/view/ai-business-analyst-remote-internship-at-scaleup-agency-3787772907?trk=public_jobs_topcard-title,"Vaasa, Ostrobothnia, Finland",5 months ago,,,16-12-23,,Internet Publishing,AI & Business Analyst (Remote Internship),"Research, Analyst, and Information Technology",remote
Over 200 applicants,73885230,Digitsonly,https://at.linkedin.com/company/digitsonly?trk=public_jobs_topcard-org-name,Full-time,"If you're on the hunt for your next career move, you've come to the right place. 🚀

At digitsonly, we're not your typical job or recruiting platform; we're a portfolio company which does the hiring, team building and training for verified 7-8 figure companies in the ecommerce and agency industry.

The companies we're working with are on the continuous lookout for A-Players, which in this case if you're reading this, would be you. With us, you have the opportunity to get matched personally to multiple jobs & companies verified by us.

Due to our acceptance rate of only 2%, we keep a high demand, low competition, with rates way above the market and trainings literally on the market leader standard. 📈 More info on https://digitsonly.com/faq ℹ️

Note: The following job description is directly for the job the client is hiring for.

Requirements

We are seeking a talented and creative YouTube Video Editor to join our team. The ideal candidate will have a passion for storytelling and experience in editing engaging content for YouTube. You will collaborate with content creators/brands to produce high-quality videos that resonate with our audience and align with our brand objectives.

Key Responsibilities:

Edit raw footage to produce high-quality YouTube videos.

Collaborate with content creators to understand their vision and execute edits accordingly.

Incorporate graphics, animations, and effects to enhance video quality.

Ensure videos adhere to brand guidelines and maintain consistency in style and tone.

Manage video projects from start to finish, ensuring timely delivery of finished products.

Stay updated on industry trends and best practices in video editing techniques.

Optimize videos for SEO and audience engagement on the YouTube platform.

Assist in the development of creative concepts and video strategies.

Provide constructive feedback to content creators to improve video quality.

Qualifications:

Bachelor's degree in Film Production, Multimedia Arts, or related field (preferred).

Proven experience in video editing, particularly for YouTube or similar digital platforms.

Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar.

Strong understanding of storytelling, pacing, and visual composition.

Ability to work independently and collaboratively in a fast-paced environment.

Excellent communication skills and a collaborative mindset.

Attention to detail and a keen eye for quality.

Familiarity with YouTube's content policies and community guidelines is a plus.

Experience with motion graphics and animation is desirable.

Benefits

Working with digitsonly, you'll receive following incentives 📈


 * Access to high paying & uncompeted jobs by verified hiring companies
 * Possibility to take on multiple projects or offers (depending on availability*)
 * Access to trainings & coachings (like adworld, foreplay.co, skillshare + inhouse trainings, etc.)
 * Access to SOPs, best practices, checklists (clickminded, +inhouse trainings, etc)
 * Private management by a dedicated customer support manager
 * Community with like minded individuals & free consulting
   
   

Note: These benefits are just from digitsonly, the client will likely offer additional incentives and benefits.",Mid-Senior level,https://fi.linkedin.com/jobs/view/youtube-video-editor-at-digitsonly-3917835049?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 weeks ago,,,05-05-24,,Non-profit Organizations and Primary and Secondary Education,Youtube Video Editor,"Marketing, Public Relations, and Writing/Editing",remote
Over 200 applicants,86335137,99ads,https://www.linkedin.com/company/99ads?trk=public_jobs_topcard-org-name,Part-time,"99ads.com is a one-stop creative shop for online advertisers. We take care of the entire creative cycle from ads design to content production for our international clients.

We foster a collaborative and supportive work environment, offering opportunities for learning, growth, and professional development.

We have team members in Portugal, Spain, Colombia, Argentina, and South Africa to name a few.

Why join our amazing team?


 * Fully Remote
 * Office Availability in Lisbon, Portugal
 * Flexible Working Hours
 * Paid leave and days off
 * The Best Training Resources Available
 * Global, multicultural team
 * International client base
   
   

The Role

99ads is looking for a Graphic Designer with experience working on personal brands specifically tailored to social media platforms.

You Will Be Responsible For


 * Conceptualising and developing design concepts, graphics and layouts.
 * Designing and producing collateral in accordance with brand guidelines.
 * Liaising with suppliers and service providers to ensure proofs are of good quality and in line with production specifications.
 * Taking a ""design brief"" to understand requirements.
 * Presenting ideas, concepts and design solutions to various stakeholders.
 * Identifying design problems and devising elegant solutions.
   
   

Ideal Profile

Requirements

Fluent English (C1 - written and verbal)

More than 2 years experience as a Graphic Designer.

Experience creating illustrations.

Must have experience creating content for personal brands (organic content for Insta + Tiktok)

Must have experience creating landing pages.

Must have a keen eye for style and branding

Exceptional attention to detail.

Excellent interpersonal skills.

Commitment Required


 * Part time (+-10-25 hours per week)
   
   

What's on Offer?


 * Flexible working options
 * Great work culture
 * Work alongside & learn from best in class talent",Entry level,https://fi.linkedin.com/jobs/view/graphic-designer-at-99ads-3798087814?trk=public_jobs_topcard-title,Finland,4 months ago,,,04-01-24,,"Technology, Information and Internet, Advertising Services, and Online Audio and Video Media",Graphic Designer,"Design, Art/Creative, and Information Technology",remote
Over 200 applicants,17925126,SCALEUP.agency,https://cz.linkedin.com/company/scaleupagency?trk=public_jobs_topcard-org-name,Internship,"About Role

As a AI & Business Analyst Intern you will work daily on data analytics / strategy consulting tasks and projects related to mining and researching data, later on data optimization, cleaning, and finally on the interpretation and data visualization for clients and internal company needs. You will use many AI tools, test them and definitely master daily the use of generative AI tools.

Your mission:


 * AI first approach - we use AI in all possible cases that is available
 * Conduct insightful, ad hoc analyses and informative, actionable global markets research and reporting that highlights relevant business trends and opportunities for improvement
 * Collaborate with other teams to build valuable content using BI and market insights solutions
 * Develop dashboards and descriptive analytics solutions for clients
 * Prepare technical reports by collecting, analyzing and summarizing information and trends
 * Take care of data integration and data / database management
 * Support and maintain existing BI solutions and resolve bugs as they arise
   
   

Your perks:


 * Access to very extensive educational resources and opportunities
 * Flexibility (work from home / remote setup)
 * Hi-tech and world-class working tools available also for personal use
 * Life-coaching & mentoring arranged by senior internal and external mentors
 * Team-buildings that are really different from “standard” companies
   
   

Your superpowers:


 * Currently enrolled in a University degree (Bachelor/Master) or fresh graduate
 * Generative AI and other AI tools daily user
 * Serious interest in market research, consulting, HR and finance audit
 * Your personality captivates with enthusiasm for innovation, curiosity and the courage to question facts and always double-check data
 * Ability to thrive in fast-paced environment with competing priorities and last-minute changes
 * Staying on top of all innovation-related news and leveraging your experience to conceptualize innovation strategies and methodologies
 * Business acumen and client’s focus
 * Basics and willing to improve skills in: Excel, SQL, Tableau, Power BI, Qlick, etc
   
   

Your mission frame:


 * Type: Full Time/Part Time internship (40/30h per week)
 * Compensation: Non-paid / Students' scholarships
 * Location: Remote
 * Duration: 3+ Months, optional to be extended up to 12 months
 * Start: ASAP
   
   

The exact starting date of the internship can be flexible after successful interviews and agreement.

Note: Due to the high number of applications we receive, we will only respond to applications that match our criteria and expectations. Thank you for understanding.

Powered by JazzHR

L7F8qY55Vl",Internship,https://fi.linkedin.com/jobs/view/ai-business-analyst-remote-internship-at-scaleup-agency-3787769815?trk=public_jobs_topcard-title,"Turku, Southwest Finland, Finland",5 months ago,,,16-12-23,,Internet Publishing,AI & Business Analyst (Remote Internship),"Research, Analyst, and Information Technology",remote
Over 200 applicants,99172905,Talent Disruptors,https://www.linkedin.com/company/talentdisruptors?trk=public_jobs_topcard-org-name,Full-time,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.

What You’ll Be Doing


 * Data Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze marketing data and extract meaningful insights.
 * Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into marketing performance.
 * Collaborating with Marketing Teams: Work closely with marketing teams to understand their data needs and provide insights that inform strategy and decision-making.
 * Data Integration and Management: Integrate data from various sources to provide a comprehensive view of marketing performance.
 * Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of marketing campaigns and strategies.
 * Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development.
 * Training and Support: Provide training and support to team members in using data analysis tools and understanding reports.
   
   

Who You Are


 * Proficient in Data Analysis Tools: You have strong experience with tools such as Google Data Studio, BigQuery, and Power BI.
 * Analytical and Insightful: You possess the ability to analyze complex datasets and turn them into actionable insights.
 * Collaborative in Nature: You work well with marketing teams, understanding their needs and communicating data insights effectively.
 * Skilled in Data Integration: You are adept at integrating and managing data from various sources.
 * Detail-Oriented: You have a keen eye for detail and accuracy in data analysis and reporting.
 * Proactive and Predictive: You are capable of conducting predictive analyses to inform future marketing strategies.
 * Excellent Communicator: You can clearly convey data insights and their implications to non-technical team members.
   
   

What Success Looks Like

30 Days


 * Establish a comprehensive, organized online database in BigQuery to store all client and marketing data and integrate lead data from CRMs, digital advertising data, customer opt-ins, and purchasing data to provide meaningful insights that inform marketing decisions.
 * Create and maintain data dashboards in Looker Studio for easy data visualization, analysis, and automated reporting.
   
   

60 Days


 * Develop statistical models for data analysis, including linear regression modeling and predictive lead scoring, that effectively guide marketing actions.
   
   

90 Days


 * Automated the generation of actionable insights and trends over time from data analysis to inform our marketing strategy.",Entry level,https://fi.linkedin.com/jobs/view/data-analyst-at-talent-disruptors-3860723730?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",2 months ago,,,17-03-24,,Staffing and Recruiting,Data Analyst,Information Technology,remote
45 applicants,73885230,Digitsonly,https://at.linkedin.com/company/digitsonly?trk=public_jobs_topcard-org-name,Full-time,"If you're on the hunt for your next career move, you've come to the right place. 🚀

At digitsonly, we're not your typical job or recruiting platform; we're a portfolio company which does the hiring, team building and training for verified 7-8 figure companies in the ecommerce and agency industry.

The companies we're working with are on the continuous lookout for A-Players, which in this case if you're reading this, would be you. With us, you have the opportunity to get matched personally to multiple jobs & companies verified by us.

Due to our acceptance rate of only 2%, we keep a high demand, low competition, with rates way above the market and trainings literally on the market leader standard. 📈 More info on https://digitsonly.com/faq ℹ️

Note: The following job description is directly for the job the client is hiring for.

Requirements

As a Performance Marketer specializing in search and paid social, you will be responsible for developing, implementing, and optimizing digital marketing campaigns across various platforms to drive customer acquisition, engagement, and revenue growth. The ideal candidate will have a strong understanding of e-commerce, direct response marketing principles, and full-stack experience in digital marketing strategies.

The annual salary would be estimated to 60-80k $.

Key Responsibilities:

Develop and execute performance marketing strategies focused on search engine marketing (SEM) and paid social channels (Facebook, Instagram, etc.) to drive qualified traffic, conversions, and revenue.

Conduct keyword research, ad copywriting, and campaign optimization to maximize ROI and achieve KPIs.

Manage and optimize advertising budgets to ensure efficient spending and scalability of campaigns.

Utilize data analytics tools and platforms to track, analyze, and report on campaign performance, providing insights and recommendations for continuous improvement.

Collaborate with cross-functional teams including creative, product, and analytics to align marketing efforts with business objectives and customer needs.

Stay up-to-date with industry trends, best practices, and emerging technologies in digital marketing to maintain a competitive edge.

Qualifications:

Bachelor's degree in Marketing, Business, or related field.

In-depth knowledge of SEM platforms (Google Ads, Bing Ads) and paid social platforms (Facebook Ads Manager, Instagram Ads).

Experience with direct response marketing tactics such as A/B testing, landing page optimization, and conversion rate optimization (CRO).

Strong analytical skills with proficiency in data analysis tools (Google Analytics, Facebook Analytics, etc.) to measure and interpret campaign performance.

Excellent communication and collaboration skills with the ability to work effectively in a fast-paced, dynamic environment.

Self-starter with a passion for driving results and a willingness to continuously learn and adapt in a rapidly evolving digital landscape.

Benefits

Working with digitsonly, you'll receive following incentives 📈


 * Access to high paying & uncompeted jobs by verified hiring companies
 * Possibility to take on multiple projects or offers (depending on availability*)
 * Access to trainings & coachings (like adworld, foreplay.co, skillshare + inhouse trainings, etc.)
 * Access to SOPs, best practices, checklists (clickminded, +inhouse trainings, etc)
 * Private management by a dedicated customer support manager
 * Community with like minded individuals & free consulting
   
   

Note: These benefits are just from digitsonly, the client will likely offer additional incentives and benefits.",Mid-Senior level,https://fi.linkedin.com/jobs/view/performance-marketing-manager-at-digitsonly-3917380820?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",4 weeks ago,,,04-05-24,,Non-profit Organizations and Primary and Secondary Education,Performance Marketing Manager,Marketing and Sales,remote
Over 200 applicants,18880506,Belmont Lavan,https://uk.linkedin.com/company/belmontlavan?trk=public_jobs_topcard-org-name,Full-time,"We are currently seeking a skilled and experienced UI Developer for a 6-month freelance contract. As a UI Developer, you will be responsible for creating visually appealing and user-friendly interfaces for our web-based applications.

Responsibilities:


 * Collaborate with the design team to translate wireframes and mockups into functional interfaces
 * Develop responsive and cross-browser compatible interfaces using HTML, CSS, and JavaScript
 * Implement user interface components and interactions based on design specifications
 * Optimize application performance and ensure smooth user experience
 * Work closely with back-end developers to integrate front-end components with server-side logic
 * Conduct comprehensive testing to identify and fix UI/UX issues
   
   
   

Requirements:


 * Proven experience as a UI Developer or similar role
 * Proficient understanding of web markup languages, including HTML5, CSS3
 * Advanced knowledge of JavaScript and front-end frameworks (e.g. React, Angular, Vue.js)
 * Experience with responsive design and mobile-friendly development
 * Familiarity with UI/UX best practices and principles
 * Strong problem-solving and debugging skills
 * Ability to work effectively in a fast-paced and collaborative team environment
 * Excellent communication and interpersonal skills
   
   
   

Requirements

Skills and Qualifications:


 * Proven experience as a UI Developer or similar role
 * Proficient understanding of HTML5, CSS3, and JavaScript
 * Experience with front-end frameworks (e.g. React, Angular, Vue.js)
 * Strong problem-solving and debugging skills
 * Ability to work effectively in a team environment
 * Excellent communication and interpersonal skills",Entry level,https://fi.linkedin.com/jobs/view/ui-developer-6-months-freelance-contract-at-belmont-lavan-3860515320?trk=public_jobs_topcard-title,Finland,2 months ago,,,18-03-24,,Non-profit Organizations and Primary and Secondary Education,UI Developer 6 Months Freelance Contract,Engineering and Information Technology,remote
