applicationsCount,companyId,companyName,companyUrl,contractType,description,experienceLevel,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,workArrangement
Be among the first 25 applicants,18847658,Synsam Group Finland Oy,https://fi.linkedin.com/company/synsam-finland-oy?trk=public_jobs_topcard-org-name,Full-time,"Synsam jatkaa kasvuaan ja etsimme uusia osaajia joukkoomme!

Oletko myyntihenkinen ja positiivinen? Kiinnostaako sinua muoti, tyyli ja laatu? Haluatko olla rakentamassa Pohjoismaiden johtavaa optisen vähittäiskaupan ketjua yhdessä huipputiimin kanssa? Voisitko sinä olla uusi työkaverimme?

Jos tunnistat itsesi kuvauksesta, olet ehkä etsimämme timantti! Haemme nyt Synsam Hämeenkatu -ja Synsam Ratina -liikkeisiimme innostunutta ja energistä osa-aikaista OPTOMETRISTIOPISKELIJAA monipuolisiin optikkoliikkeen tehtäviin, osaksi iloista, asiakaspalveluhenkistä ja ammattitaitoista tiimiä!

Haluamme antaa asiakkaillemme aina parasta palvelua, siksi etsimme nyt sinua, joka janoat oppia lisää optisesta alasta, kuuntelet asiakkaitamme ja huolehdit heidän näkemisen tarpeistaan yhdessä optikoidemme ja myyjiemme kanssa. Ei haittaa, jos sinulle ole kertynyt vielä alan kokemusta, me perehdytämme sinut työhön!

Työskentelet laadukkaasti ja motivoidut haasteellisista ja monipuolisista tehtävistä. Positiivinen ja energinen asenteesi on myös tärkeä tekijä valinnassamme. Toimit sujuvasti suomen ja englannin kielellä, muu kielitaito katsotaan eduksesi.

Työsuhde on tarvittaessa töihin kutsuttava, ja työtä on tarjolla sopimuksen mukaan 0-37,5h/vko.

Synsam on tunnettu rennosta, nuorekkaasta ilmapiiristä sekä kannustavasta, mahdollistavasta johtamiskulttuurista. Synsamilla saat mielekkään ja monipuolisen tehtävän nopeasti kasvavassa ja kehittyvässä kansainvälisessä yrityksessä, jossa arvomme, asiakas on ykkönen, vastuullisuus ja innovatiivisuus, näkyvät arjen tekoina.

Tunnistitko itsesi? Esittele rohkeasti itsesi lähettämällä hakemuksesi ja CV palkkatoivomuksineen.

Tarvittaessa lisätietoja tehtävästä ja työstä Synsamilla antavat Synsam Hämeenkadun liikevastaava Heidi Hepouro, heidi.hepouro@synsam.fi, 046 920 4782, Synsam Ratinan likevastaava Aune Sirviö, aune.sirvio@synsam.fi, 050 338 5986 sekä aluejohtaja Outi Salakari, outi.salakari@synsam.fi, 040 753 0810.

Katso myös www.synsam.fi

Vuonna 1968 perustettu Synsam Group on yksi Euroopan johtavia optisen vähittäiskaupan ketjuja ja tarjoaa laajan valikoiman ainutlaatuisia silmänterveyden ja silmälasimuodin ratkaisuja, jotka rakentuvat asiakkaiden tarpeiden ja elämäntyylin mukaisesti. Synsam-ketjussa työskentelee Pohjoismaissa n. 3000 ammattilaista ja sen liikevaihto on n. 4 miljardia SEK. Ketjuun kuuluu 500 optikkoliikettä, jotka toimivat Synsamin, AI Eyewear ja Tanskassa Profil Optikin brändien alla. Synsam Group on onnistunut toiminnan digitalisoinnin ja innovatiivisten konseptien kautta saavuttamaan toimialansa parasta kasvua ja kannattavuutta Euroopassa.",Not Applicable,https://fi.linkedin.com/jobs/view/optometristiopiskelija-tampereen-synsam-liikkeisiin%21-at-synsam-group-finland-oy-3728733192?trk=public_jobs_topcard-title,"Tampere, Pirkanmaa, Finland",8 months ago,,,27-09-23,,Retail,Optometristiopiskelija Tampereen Synsam-liikkeisiin!,Other,on-site
65 applicants,93081160,Ladgov Corporation,https://www.linkedin.com/company/ladgov-corporation?trk=public_jobs_topcard-org-name,Full-time,"Job title: Caterer.

Location: Stenbäckinkatu 22, Helsinki.

Qualifications:


 * Previous experience in food preparation and delivery preferred
 * Strong organizational and time management skills
 * Knowledge of food safety and sanitation regulations
   
   

Duties:


 * Schedule cooking and delivery requirements to ensure meals are prepared, packaged, and delivered in the specified order and time frame
 * Provide individually packed lunch and dinner meals for seven people per day, totaling 98 meals per week
 * Utilize own discretion on the timing of meal transportation to the residence in Helsinki
 * Manage own operation hours for meal preparation, packaging, and delivery to ensure availability of one lunch and one dinner meal daily for seven people
 * Transport multiple days' worth of meals during each trip to minimize daily transportation of meals
 * Remove used food containers and any uneaten meals from the residence during meal deliveries
   
   

Powered by JazzHR

MddSeowkqG",Entry level,https://fi.linkedin.com/jobs/view/caterer-at-ladgov-corporation-3838733635?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 months ago,,,23-02-24,,Internet Publishing,Caterer,Management and Manufacturing,on-site
165 applicants,77048887,Shootday,https://ae.linkedin.com/company/shootday?trk=public_jobs_topcard-org-name,Part-time,"We are looking for a passionate Photographer to capture moments on film and to use images to tell a story. The successful candidate will be able to achieve technical, qualitative and quantitative goals while meeting the project’s needs and deadlines.

Responsibilities


 * Take the brief to understand specifications and work closely with our art team to develop the concept
 * Capture and process images until you achieve desired results
 * Shoot poses that don’t look posed
 * Constantly improve image quality using various editing methods
 * Use and maintain modern and traditional technical equipment (cameras, lenses etc)
 * Arrange objects, scenes, lighting and background to adhere to specifications
 * Direct participants
 * Archive photographic images and maintain the database
 * Maintain an in-depth understanding of photographic best practices and procedures
   
   

Requirements


 * Proven professional shooting experience
 * Eye-catching portfolio
 * Proficient in traditional and modern equipment
 * Solid knowledge of Photoshop, Capture One or other photography specific software
 * Shooting, lighting and printing skills
 * Competency in applying photographic best practices and techniques
 * Knowledge of production process for online publishing and various printing applications
 * Ability to juggle multiple tasks
 * Photography degree or similar",Entry level,https://fi.linkedin.com/jobs/view/photographer-at-shootday-3919557902?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 weeks ago,,,07-05-24,,Photography,Photographer,"Design, Art/Creative, and Information Technology",on-site
Be among the first 25 applicants,5720728,Hetzner,https://de.linkedin.com/company/hetzner-online?trk=public_jobs_topcard-org-name,Full-time,"Skills

To further strengthen our market position, we are looking for committed and competent employees to enhance our team with their skills. The following positions are currently available:

Cleaner

The first building in the Data Center Park Helsinki became operational in 2018, and more data centers will be built in years to come. Each building has the size of approx. 4000 square meters. Our Data center park is located in the southern part of Tuusula.

To strengthen our team, we are looking for a CLEANER for a permanent employment relationship.

Your Responsibilities


 * cleaning of offices, kitchen and break room areas as well as staff social rooms
 * cleaning of data centers and storage area´s
 * taking care of attractiveness of the premises, e.g. interior plant care
 * occasional cleaning at construction site and final cleaning of new data centers
   
   

Your Qualifications


 * previous experience in cleaning tasks
 * systematical, independent and accurate way of working
 * good social and team player skills
 * English language skills
   
   

Your work includes cleaning of data centers independently, but as part of a small Maintenance team. Work is full-time and done on weekdays. Flexible working hours are an important part of our company philosophy. We hope that after learning the work you will be able to work independently with versatile tasks and duties. Hetzner Finland offers you a growing and international working environment. Work begins as per agreement.

Are you interested in joining the Hetzner Finland team? Leave your application with CV and salary request down here in Apply now.

Profession

Facility Management

Type of employment

Fulltime

Location

Tuusula

Contact person

Riikka Huhtaniitty career-fi@hetzner.com

+358405500873 Apply now",Entry level,https://fi.linkedin.com/jobs/view/cleaner-at-hetzner-3940237350?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",1 week ago,,,21-05-24,,"Technology, Information and Internet",Cleaner,Management and Manufacturing,on-site
Over 200 applicants,13423341,Ampstek,https://www.linkedin.com/company/ampstek?trk=public_jobs_topcard-org-name,Contract,"Greetings From Ampstek,

Position Title: IT Desktop Support

Position type: Contract Employment

Location: Helsinki/ESPOO, Finland

Skills

Job Description:


 * Experience in IT Service Operation,
 * Systems and Network Administration,
 * Support and troubleshooting of desktops and applications.
 * English language is compulsory
   
   

Thanks & Regards,

Shrutika Baing

IT Recruiter | Europe & UK


 * Shrutika.b@ampstek.com
   
   

✆ - +44 2045329689

Ampstek Services Limited

LinkedIn : https://www.linkedin.com/in/shrutika-baing-67683b246/",Mid-Senior level,https://fi.linkedin.com/jobs/view/desktop-support-at-ampstek-3807146692?trk=public_jobs_topcard-title,"Espoo, Uusimaa, Finland",4 months ago,,,17-01-24,,IT Services and IT Consulting,Desktop Support,Information Technology,on-site
Be among the first 25 applicants,7575309,HappySignals Ltd,https://fi.linkedin.com/company/happysignals?trk=public_jobs_topcard-org-name,Full-time,"We always have our eyes open for new talent to join our Happy team and growth journey! Tell us about yourself, what kind of job you are looking for, and in which location. Send your open application. Please note, that you need to have a right to work or a valid work visa in the country you would be working.

We will get back to you if we have a position that matches your profile. Your application will be valid for 24 months and it’s available to our HR and hiring managers when we open new positions.

About HappySignals

We offer great opportunities for you to grow and develop your personal skills and experience with an innovative IT product. For our growth journey to be a success, we need willing and determined people to commit and put their heart and skills into the growth story of HappySignals.

In return, you get a competitive package of benefits such as better holidays and extensive healthcare and dental services, a bunch of great colleagues, open and equal environment. We are still a start-up company - we try, we fail, and we succeed together. We have a supportive team that encourages each other, respects you, and enjoys the occasional Friday social. For our employees, we want HappySignals to be the greatest place to work!

About HappySignals

HappySignals is the leading SaaS company for IT Experience Management, empowering enterprises to change their culture to be more open, outcome-focused, and data-driven. The HappySignals Platform enables IT leaders to get a real-time understanding of the experiences they are delivering to end-users, and make informed decisions that increase employee happiness and productivity. HappySignals discovers the experiences of millions of employees in 130 countries. Our customers have been able to make employees happier and increase productivity by 26%.

Established in 2014, HappySignals is based in Helsinki, Finland, and also has operations in the UK and the US. Currently, we are a Happy team of 30+ people with around 10 different nationalities. We work together on a mission towards more smiles, less time wasted. For more information, visit www.happysignals.com.

HappySignals is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will be considered without regard to age, sex, sexual orientation, nationality, language, religion, beliefs, health, disability, or any other circumstance connected to the person.",Mid-Senior level,https://fi.linkedin.com/jobs/view/open-application-at-happysignals-ltd-3932025688?trk=public_jobs_topcard-title,Finland,1 week ago,,,24-05-24,,IT Services and IT Consulting,Open application,Information Technology,on-site
Be among the first 25 applicants,18847658,Synsam Group Finland Oy,https://fi.linkedin.com/company/synsam-finland-oy?trk=public_jobs_topcard-org-name,Full-time,"Synsam jatkaa huikeaa kasvua ja avaamme jo kolmannen liikkeen Jyväskylään!

Haemme nyt syksyllä 2024 avattavaan Synsam Seppä -liikkeeseemme LIIKEVASTAAVAA/MYYMÄLÄPÄÄLLIKKÖÄ ottamaan kokonaisvastuun liikkeen myynnistä, tiimistä ja operatiivisesta toiminnasta.

Löytyykö sinulta intohimoa kehittää myymälää, liiketoimintaa ja valmentaa omaa henkilöstöä menestymään? Oletko koskaan miettinyt toimivasi alalla, jossa yhdistyy muoti, tyyli, terveys ja laatu? Haluatko olla rakentamassa Pohjoismaiden johtavaa optisen vähittäiskaupan ketjua yhdessä muun huipputiimin kanssa? Jos vastasit kyllä, saatat olla etsimämme henkilö!

Liikevastaavan roolista

Liikevastaavan roolissa tulet kehittämään myymälää Synsamin konseptin mukaisesti, saat ainutlaatuiseen Lifestyle-sopimusmyyntiimme lentoa, coachaat tiimiäsi hyödyntämään vahvuuksiaan ja toimit asiakaspalvelussa oma-aloitteisesti ja ratkaisukeskeisesti. Toivomme, että tuot mukanasi kokemusta vastuullisista esihenkilön tehtävistä ja olet toiminut kaupan alalla. Optisen alan tuntemus on plussaa, muttei välttämättömyys.

Haluamme Synsamilla antaa asiakkaillemme aina loistavaa, korkealaatuista palvelua. Siksi toivomme, että työskentelet myyntihenkisesti ja motivoidut haasteellisista sekä monipuolisista optikkoliikkeen tehtävistä. Ohjaat, tuet ja kannustat tiimiäsi heidän suorana esihenkilönään ja edistät liikkeen myyntiä ja markkinointia yhdessä ketjun myynti- ja markkinointijohdon kanssa. Pidät kunnia-asianasi sitä, että liikkeen myynti, henkilöstö- ja asiakastyytyväisyys ovat huippuluokkaa. Ennen kaikkea tehtävän menestyksellinen hoitaminen edellyttää, että sinulla on palava halu ammattitaitoiseen, asiantuntevaan sekä laadukkaaseen liikevastaavan tehtävään.

Mitä tarjoamme sinulle

Synsam on tunnettu rennosta, nuorekkaasta ilmapiiristä sekä kannustavasta, mahdollistavasta johtamiskulttuurista. Synsamilla saat mielekkään ja monipuolisen tehtävän nopeasti kasvavassa ja kehittyvässä kansainvälisessä yrityksessä, jossa arvomme, asiakas on ykkönen, vastuullisuus ja innovatiivisuus, näkyvät arjen tekoina.

Tarjoamme sinulle mm.:


 * Edenredin lounas-, virike- ja hierontaedun
 * Mehiläisen kattavat työterveyspalvelut
 * Kansainvälisen ketjun koulutus- ja uramahdollisuudet
 * Loistavat henkilöstöedut
 * Ja paljon muuta!
   
   

Työsuhde on vakituinen ja kokoaikainen, työ alkaa sopimuksen mukaan syksyllä 2024.

Tunnistitko itsesi?

Esittele rohkeasti itsesi lähettämällä hakemuksesi ja CV palkkatoivomuksineen mahdollisimman pian, kuitenkin viimeistään 16.6.2024. Huomioi, että etenemme rekrytoinnissa sopivan henkilön löydyttyä, joten älä odota viimeistä hakupäivää vaan lähetä hakemuksesi hakusivun kautta heti.

Tarvittaessa lisätietoja tehtävästä ja Synsamista työnantajana antaa aluejohtaja Eveliina Jalkanen, eveliina.jalkanen@synsam.fi, 041 500 4750.

Katso myös www.synsam.fi

Vuonna 1968 perustettu Synsam Group on yksi Euroopan johtavia optisen vähittäiskaupan ketjuja ja tarjoaa laajan valikoiman ainutlaatuisia silmänterveyden ja silmälasimuodin ratkaisuja, jotka rakentuvat asiakkaiden tarpeiden ja elämäntyylin mukaisesti. Synsam-ketjussa työskentelee Pohjoismaissa n. 3000 ammattilaista ja sen liikevaihto on n. 4 miljardia SEK. Ketjuun kuuluu 500 optikkoliikettä, jotka toimivat Synsamin, AI Eyewear ja Tanskassa Profil Optikin brändien alla. Synsam Group on onnistunut toiminnan digitalisoinnin ja innovatiivisten konseptien kautta saavuttamaan toimialansa parasta kasvua ja kannattavuutta Euroopassa.",Mid-Senior level,https://fi.linkedin.com/jobs/view/liikevastaava-myym%C3%A4l%C3%A4p%C3%A4%C3%A4llikk%C3%B6-synsam-sepp%C3%A4-liikkeeseen-jyv%C3%A4skyl%C3%A4%C3%A4n%21-at-synsam-group-finland-oy-3931316141?trk=public_jobs_topcard-title,"Jyväskylä, Central Finland, Finland",1 week ago,,,21-05-24,,Retail,Liikevastaava/myymäläpäällikkö Synsam Seppä -liikkeeseen Jyväskylään!,Sales and Business Development,on-site
Over 200 applicants,24987239,Apukka Resort,https://fi.linkedin.com/company/apukkaresort?trk=public_jobs_topcard-org-name,Contract,"Your job as a housekeeper is to take care of the cleanliness of the resort. Your duties include cleaning work at various parts of our resort, and the result of your work can be seen as the smiley faces of our guests.

You are best equipped for this work if you have applicable vocational training in cleaning and previous experience in similar tasks. We appreciate cooperation and interaction skills as well as a responsible attitude and way of doing things. The work requires good physical fitness.

Working hours are in morning/evening shifts. Work also during weekends.

Full-time 112,5h / 3 weeks / also part-time jobs available

Work begins 1.11.2024

Duration of work: until 31.3.2025

Salary as in collective agreement TES

If you cannot see the embedded video, you can take a look at it from the link: https://youtu.be/CdLuzWc1IR8

Desired Skillset and Qualifications:


 * Driver's license
 * Good skills in the English language
 * Good teamwork skills
 * Flexibility
 * Customer service orientation
 * A cheerful attitude
   
   

We appreciate:


 * Previous work experience in customer service roles
 * First aid skills
   
   

Why Join Us?

We offer Employee benefits, e.g., discounts on excursions, Epassi benefits, occupational health care, a genuine and caring work community, and workwear. In this position, there is an opportunity for performance-based bonus pay depending on your working hours.

About Apukka Resort

Apukka Resort Rovaniemi offers international guests unique lodgings, memorable experiences, and delicious tastes. Apukka's hospitable and professional staff works to create the surroundings and atmosphere for an unforgettable holiday in Finnish Lapland. New team members are welcomed to Apukka as warmly as each and every guest.",Entry level,https://fi.linkedin.com/jobs/view/housekeeper-at-apukka-resort-3916448567?trk=public_jobs_topcard-title,"Rovaniemi, Lapland, Finland",4 weeks ago,,,02-05-24,,Travel Arrangements,Housekeeper,Management and Manufacturing,on-site
180 applicants,101401917,KeyStaff Oy,https://fi.linkedin.com/company/keystaff-oy?trk=public_jobs_topcard-org-name,Full-time,"Did you not find a job that matches your experience, interests and skills in our open positions? New positions are constantly opening up in our growing company and when a new position opens up, we review the open applications first.

Tell us broadly, what are your career goals and what different opportunities are you open to? Also tell us about your skills, what you already have through your work experience and education. We are constantly looking for new experts for different industries.

Jump on a rewarding career path in the KeyStaff Oy team - where your success is our primary goal! You can get support from our energetic team and we offer long-term opportunities for professionals!",Mid-Senior level,https://fi.linkedin.com/jobs/view/open-application-at-keystaff-oy-3843548732?trk=public_jobs_topcard-title,"Helsinki, Uusimaa, Finland",3 months ago,,,01-03-24,,Staffing and Recruiting,Open application,Information Technology,on-site
Over 200 applicants,12484,Teleste,https://fi.linkedin.com/company/teleste?trk=public_jobs_topcard-org-name,Full-time,"Thank you for your interest in working at Teleste. If we do not have an opening that fits your interests currently, you can leave your application with us.

What We Offer

We offer global opportunities in a modern technology company. We Telestians value diverse and interesting assignments, international environment, opportunity to influence our own work, and interaction with great colleagues. We want this all to also describe your time with us.

Good To Know About Open Applications

How does Teleste use these applications?


 * In case we have openings where we need to hire fast or are short term.
 * In challenging recruitments with specific specialty.
   
   

How to make myself found?


 * Add your specific skills and competences in your application
 * Tell openly about your preferences and interests.
 * Make sure to inform us which Teleste location is of interest to you.
   
   

What if you see a job opening that you are interested in later on?


 * To make sure you are taken into account, make sure to apply to this specific job opening separately.",Mid-Senior level,https://fi.linkedin.com/jobs/view/open-application-to-teleste-at-teleste-3664571315?trk=public_jobs_topcard-title,"Kaarina, Southwest Finland, Finland",10 months ago,,,14-07-23,,Telecommunications,Open Application to Teleste,Information Technology,on-site
